species_orig,species_acc,shift
Abies alba,Abies alba,214
Acer campestre,Acer campestre,18
Acer monspessulanum,Acer monspessulanum,139
Acer opalus,Acer opalus,137
Acer platanoides,Acer platanoides,124
Acer pseudoplatanus,Acer pseudoplatanus,137
Actaea spicata,Actaea spicata,230
Adenostyles alliariae,Adenostyles alliariae,126
Anemone nemorosa,Anemone nemorosa,-57
Anthyllis vulneraria,Anthyllis vulneraria,-187
Aquilegia vulgaris,Aquilegia vulgaris,22
Arabis turrita,Arabis turrita,204
Aruncus dioicus,Aruncus dioicus,253
Aster bellidiastrum,Erigeron andicola,-60
Athyrium filix-femina,Athyrium filix-femina,-12
Atrichum undulatum,Atrichum undulatum,16
Berberis vulgaris,Berberis vulgaris,116
Blechnum spicant,Blechnum spicant,-344
Buxus sempervirens,Buxus sempervirens,165
Calamagrostis varia,Calamagrostis varia,-94
Calamintha grandiflora,Clinopodium carolinianum,50
Campanula rhomboidalis,Campanula rhomboidalis,-165
Campanula rotundifolia,Campanula rotundifolia,-199
Cardamine heptaphylla,Cardamine heptaphylla,173
Cardamine pentaphyllos,Cardamine pentaphyllos,224
Cardamine pratensis,Cardamine pratensis,105
Carex digitata,Carex digitata,251
Carex sylvatica,Carex sylvatica,8
Carpinus betulus,Carpinus betulus,67
Castanea sativa,Castanea sativa,26
Cephalanthera longifolia,Cephalanthera longifolia,495
Cephalanthera rubra,Cephalanthera rubra,68
Cicerbita alpina,Lactuca alpina,73
Clinopodium vulgare,Clinopodium vulgare,-377
Corylus avellana,Corylus avellana,38
Crataegus laevigata,Crataegus laevigata,65
Crataegus monogyna,Crataegus monogyna,-62
Cruciata glabra,Cruciata glabra,-112
Cytisophyllum sessilifolium,Cytisophyllum sessilifolium,17
Cytisus scoparius,Cytisus scoparius,-14
Dactylorhiza maculata,Dactylorhiza maculata,14
Daphne laureola,Daphne laureola,170
Digitalis lutea,Digitalis lutea,147
Digitalis purpurea,Digitalis purpurea,-73
Dryopteris dilatata,Dryopteris dilatata,-235
Dryopteris filix-mas,Dryopteris filix-mas,26
Epilobium angustifolium,Epilobium angustifolium,-175
Epilobium montanum,Epilobium montanum,211
Epipactis atrorubens,Epipactis atrorubens,233
Epipactis helleborine,Epipactis helleborine,70
Euphorbia characias,Euphorbia characias,213
Evonymus europaeus,Euonymus europaeus,141
Fagus sylvatica,Fagus sylvatica,121
Festuca altissima,Festuca altissima,239
Festuca flavescens,Festuca flavescens,524
Festuca heterophylla,Festuca heterophylla,-98
Fragaria vesca,Fragaria vesca,54
Fraxinus excelsior,Fraxinus excelsior,27
Galeopsis tetrahit,Galeopsis tetrahit,198
Galium odoratum,Galium odoratum,116
Galium rotundifolium,Galium rotundifolium,257
Galium saxatile,Galium saxatile,-77
Genista cinerea,Genista cinerea,218
Genista pilosa,Genista pilosa,-169
Gentiana lutea,Gentiana lutea,149
Geranium nodosum,Geranium nodosum,85
Geranium robertianum,Geranium robertianum,66
Gymnocarpium dryopteris,Gymnocarpium dryopteris,196
Hedera helix,Hedera helix,-80
Helleborus foetidus,Helleborus foetidus,-97
Hepatica nobilis,Hepatica nobilis,498
Hieracium murorum,Hieracium murorum,162
Hieracium prenanthoides,Hieracium prenanthoides,-259
Holcus mollis,Holcus mollis,-121
Homogyne alpina,Homogyne alpina,-215
Hordelymus europaeus,Hordelymus europaeus,196
Ilex aquifolium,Ilex aquifolium,-10
Juniperus communis,Juniperus communis,-148
Knautia dipsacifolia,Knautia dipsacifolia,200
Lamium galeobdolon,Lamium galeobdolon,39
Laserpitium gallicum,Laserpitium gallicum,-67
Laserpitium latifolium,Laserpitium latifolium,321
Lathyrus linifolius,Lathyrus linifolius,149
Lathyrus niger,Lathyrus niger,138
Lathyrus vernus,Lathyrus vernus,351
Leucobryum glaucum,Leucobryum glaucum,19
Ligustrum vulgare,Ligustrum vulgare,-317
Lilium martagon,Lilium martagon,23
Lonicera alpigena,Lonicera alpigena,-119
Lonicera etrusca,Lonicera etrusca,-5
Lonicera nigra,Lonicera nigra,4
Lonicera periclymenum,Lonicera periclymenum,9
Lonicera xylosteum,Lonicera xylosteum,36
Luzula luzuloides,Luzula luzuloides,190
Luzula nivea,Luzula nivea,115
