"","species_new","trait_ind","emb_ind","phylo_ind"
"1","Aaronsohnia pubescens",1,8,2028
"2","Abarema adenophora",3,9,17905
"3","Abarema adenophorum",4,10,17904
"4","Abarema barbouriana",5,11,17903
"5","Abarema jupunba",6,12,17906
"6","Abarema laeta",7,14,17901
"7","Abarema macradenia",8,16,17899
"8","Abarema racemiflora",9,17,17898
"9","Abelia biflora",10,18,5252
"10","Abelia dielsii",11,20,5247
"11","Abelia mosanensis",12,21,5246
"12","Abelmoschus ficulneus",13,22,24711
"13","Abelmoschus manihot",14,23,24712
"14","Abelmoschus moschatus",15,24,24713
"15","Abies alba",17,25,38316
"16","Abies amabilis",18,26,38320
"17","Abies balsamea",19,27,38309
"18","Abies borisii-regis",20,28,38301
"19","Abies cephalonica",21,29,38314
"20","Abies concolor",22,30,38319
"21","Abies fargesii",23,31,38303
"22","Abies firma",24,32,38304
"23","Abies fraseri",25,33,38310
"24","Abies grandis",26,34,38318
"25","Abies holophylla",27,35,38305
"26","Abies kawakamii",28,36,38302
"27","Abies koreana",29,37,38308
"28","Abies lasiocarpa",30,38,38311
"29","Abies magnifica",31,39,38322
"30","Abies nephrolepis",32,40,38307
"31","Abies nordmanniana",33,41,38313
"32","Abies pinsapo",34,42,38315
"33","Abies procera",35,43,38321
"34","Abies religiosa",36,44,38317
"35","Abies sachalinensis",37,45,38306
"36","Abies sibirica",38,46,38312
"37","Abroma augusta",39,49,24910
"38","Abronia fragrans",40,50,13025
"39","Abronia latifolia",41,51,13024
"40","Abronia villosa",42,52,13023
"41","Abrophyllum ornans",43,53,4181
"42","Abrus precatorius",45,59,16583
"43","Abrus pulchellus",46,60,16582
"44","Abuta grandifolia",48,61,30024
"45","Abuta panamensis",49,64,30023
"46","Abuta panurensis",50,65,30019
"47","Abuta racemosa",51,66,30022
"48","Abuta rufescens",52,67,30025
"49","Abuta solimoesensis",53,68,30018
"50","Abutilon auritum",55,71,24574
"51","Abutilon austroafricanum",56,72,24573
"52","Abutilon bidentatum",57,73,24578
"53","Abutilon cryptopetalum",58,75,24571
"54","Abutilon fraseri",59,76,24570
"55","Abutilon fruticosum",60,77,24569
"56","Abutilon hirtum",61,80,24566
"57","Abutilon indicum",62,81,24577
"58","Abutilon lepidum",63,82,24565
"59","Abutilon leucopetalum",64,83,24564
"60","Abutilon longicuspe",65,84,24563
"61","Abutilon mauritianum",66,85,24562
"62","Abutilon otocarpum",67,88,24559
"63","Abutilon oxycarpum",68,89,24558
"64","Abutilon pannosum",69,90,24579
"65","Abutilon ramosum",70,92,24580
"66","Abutilon theophrasti",71,94,24576
"67","Acacia acradenia",73,97,17536
"68","Acacia acuminata",74,98,17544
"69","Acacia adoxa",75,99,17667
"70","Acacia adsurgens",76,100,17542
"71","Acacia adunca",77,101,17637
"72","Acacia alleniana",79,103,17495
"73","Acacia amblygona",80,104,17674
"74","Acacia anceps",81,105,17641
"75","Acacia ancistrocarpa",82,106,17522
"76","Acacia aneura",83,107,17574
"77","Acacia angustissima",84,109,17931
"78","Acacia auriculiformis",85,118,17545
"79","Acacia baeuerlenii",86,119,17588
"80","Acacia bakeri",87,120,17680
"81","Acacia betchei",88,123,17621
"82","Acacia binervata",89,125,17620
"83","Acacia binervia",90,126,17550
"84","Acacia bivenosa",91,127,17489
"85","Acacia blakei",92,128,17488
"86","Acacia brassii",93,130,17548
"87","Acacia brevispica",94,131,17486
"88","Acacia burrowii",96,133,17484
"89","Acacia buxifolia",97,134,17616
"90","Acacia caesiella",98,135,17613
"91","Acacia calcicola",99,137,17566
"92","Acacia cambagei",100,140,17583
"93","Acacia caroleae",101,141,17557
"94","Acacia chisholmii",102,144,17480
"95","Acacia cincinnata",103,146,17479
"96","Acacia colei",104,148,17503
"97","Acacia colletioides",105,149,17568
"98","Acacia complanata",106,150,17678
"99","Acacia concurrens",107,151,17501
"100","Acacia conferta",108,152,17636
"101","Acacia confusa",109,153,17546
"102","Acacia constricta",110,154,17712
"103","Acacia continua",111,155,17675
"104","Acacia cowleana",112,156,17507
