spec.name.ORIG,species_new,genus,family
Aa argyrolepis,Aa argyrolepis,Aa,Orchidaceae
Aa colombiana,Aa colombiana,Aa,Orchidaceae
Aa denticulata,Aa denticulata,Aa,Orchidaceae
Aa leucantha,Aa leucantha,Aa,Orchidaceae
Aa maderoi,Aa maderoi,Aa,Orchidaceae
Aa paleacea,Aa paleacea,Aa,Orchidaceae
Aa riobambae,Aa riobambae,Aa,Orchidaceae
Aaronsohnia pubescens,Aaronsohnia pubescens,Aaronsohnia,Asteraceae
Abarema adenophora,Abarema adenophora,Abarema,Fabaceae
Abarema adenophorum,Abarema adenophorum,Abarema,Fabaceae
Abarema barbouriana,Abarema barbouriana,Abarema,Fabaceae
Abarema jupunba,Abarema jupunba,Abarema,Fabaceae
Abarema killipii,Abarema killipii,Abarema,Fabaceae
Abarema laeta,Abarema laeta,Abarema,Fabaceae
Abarema langsdorffii,Abarema langsdorffii,Abarema,Fabaceae
Abarema macradenia,Abarema macradenia,Abarema,Fabaceae
Abarema racemiflora,Abarema racemiflora,Abarema,Fabaceae
Abelia biflora,Abelia biflora,Abelia,Caprifoliaceae
Abelia corymbosa,Abelia corymbosa,Abelia,Caprifoliaceae
Abelia dielsii,Abelia dielsii,Abelia,Caprifoliaceae
Abelia mosanensis,Abelia mosanensis,Abelia,Caprifoliaceae
Abelmoschus ficulneus,Abelmoschus ficulneus,Abelmoschus,Malvaceae
Abelmoschus manihot,Abelmoschus manihot,Abelmoschus,Malvaceae
Abelmoschus moschatus,Abelmoschus moschatus,Abelmoschus,Malvaceae
Abies alba,Abies alba,Abies,Pinaceae
Abies amabilis,Abies amabilis,Abies,Pinaceae
Abies balsamea,Abies balsamea,Abies,Pinaceae
Abies borisii-regis,Abies borisii-regis,Abies,Pinaceae
Abies cephalonica,Abies cephalonica,Abies,Pinaceae
Abies concolor,Abies concolor,Abies,Pinaceae
Abies fargesii,Abies fargesii,Abies,Pinaceae
Abies firma,Abies firma,Abies,Pinaceae
Abies fraseri,Abies fraseri,Abies,Pinaceae
Abies grandis,Abies grandis,Abies,Pinaceae
Abies holophylla,Abies holophylla,Abies,Pinaceae
Abies kawakamii,Abies kawakamii,Abies,Pinaceae
Abies koreana,Abies koreana,Abies,Pinaceae
Abies lasiocarpa,Abies lasiocarpa,Abies,Pinaceae
Abies magnifica,Abies magnifica,Abies,Pinaceae
Abies nephrolepis,Abies nephrolepis,Abies,Pinaceae
Abies nordmanniana,Abies nordmanniana,Abies,Pinaceae
Abies pinsapo,Abies pinsapo,Abies,Pinaceae
Abies procera,Abies procera,Abies,Pinaceae
Abies religiosa,Abies religiosa,Abies,Pinaceae
Abies sachalinensis,Abies sachalinensis,Abies,Pinaceae
Abies sibirica,Abies sibirica,Abies,Pinaceae
Abrahamia oblongifolia,Abrahamia oblongifolia,Abrahamia,Anacardiaceae
Abrodictyum caudatum,Abrodictyum caudatum,Abrodictyum,Hymenophyllaceae
Abroma augusta,Abroma augusta,Abroma,Malvaceae
Abronia fragrans,Abronia fragrans,Abronia,Nyctaginaceae
Abronia latifolia,Abronia latifolia,Abronia,Nyctaginaceae
Abronia villosa,Abronia villosa,Abronia,Nyctaginaceae
Abrophyllum ornans,Abrophyllum ornans,Abrophyllum,Rousseaceae
Abrotanella caespitosa,Abrotanella caespitosa,Abrotanella,Asteraceae
Abrotanella linearis,Abrotanella linearis,Abrotanella,Asteraceae
Abrotanella muscosa,Abrotanella muscosa,Abrotanella,Asteraceae
Abrotanella spathulata,Abrotanella spathulata,Abrotanella,Asteraceae
Abrus fruticulosus,Abrus fruticulosus,Abrus,Fabaceae
Abrus precatorius,Abrus precatorius,Abrus,Fabaceae
Abrus pulchellus,Abrus pulchellus,Abrus,Fabaceae
Abuta grandifolia,Abuta grandifolia,Abuta,Menispermaceae
Abuta grisebachii,Abuta grisebachii,Abuta,Menispermaceae
Abuta pahni,Abuta pahni,Abuta,Menispermaceae
Abuta panamensis,Abuta panamensis,Abuta,Menispermaceae
Abuta panurensis,Abuta panurensis,Abuta,Menispermaceae
Abuta racemosa,Abuta racemosa,Abuta,Menispermaceae
Abuta rufescens,Abuta rufescens,Abuta,Menispermaceae
Abuta solimoesensis,Abuta solimoesensis,Abuta,Menispermaceae
Abuta steyermarkii,Abuta steyermarkii,Abuta,Menispermaceae
Abutilon arenarium,Abutilon arenarium,Abutilon,Malvaceae
Abutilon auritum,Abutilon auritum,Abutilon,Malvaceae
Abutilon austroafricanum,Abutilon austroafricanum,Abutilon,Malvaceae
Abutilon bidentatum,Abutilon bidentatum,Abutilon,Malvaceae
Abutilon calliphyllum,Abutilon calliphyllum,Abutilon,Malvaceae
Abutilon cryptopetalum,Abutilon cryptopetalum,Abutilon,Malvaceae
Abutilon fraseri,Abutilon fraseri,Abutilon,Malvaceae
Abutilon fruticosum,Abutilon fruticosum,Abutilon,Malvaceae
Abutilon halophilum,Abutilon halophilum,Abutilon,Malvaceae
Abutilon hannii,Abutilon hannii,Abutilon,Malvaceae
Abutilon hirtum,Abutilon hirtum,Abutilon,Malvaceae
Abutilon indicum,Abutilon indicum,Abutilon,Malvaceae
Abutilon lepidum,Abutilon lepidum,Abutilon,Malvaceae
Abutilon leucopetalum,Abutilon leucopetalum,Abutilon,Malvaceae
Abutilon longicuspe,Abutilon longicuspe,Abutilon,Malvaceae
Abutilon mauritianum,Abutilon mauritianum,Abutilon,Malvaceae
Abutilon micropetalum,Abutilon micropetalum,Abutilon,Malvaceae
Abutilon nobile,Abutilon nobile,Abutilon,Malvaceae
Abutilon otocarpum,Abutilon otocarpum,Abutilon,Malvaceae
Abutilon oxycarpum,Abutilon oxycarpum,Abutilon,Malvaceae
Abutilon pannosum,Abutilon pannosum,Abutilon,Malvaceae
Abutilon pauciflorum,Abutilon pauciflorum,Abutilon,Malvaceae
Abutilon ramosum,Abutilon ramosum,Abutilon,Malvaceae
Abutilon subviscosum,Abutilon subviscosum,Abutilon,Malvaceae
Abutilon theophrasti,Abutilon theophrasti,Abutilon,Malvaceae
Abutilon tubulosum,Abutilon tubulosum,Abutilon,Malvaceae
Acacia acanthoclada,Acacia acanthoclada,Acacia,Fabaceae
Acacia acradenia,Acacia acradenia,Acacia,Fabaceae
Acacia acuminata,Acacia acuminata,Acacia,Fabaceae
Acacia adoxa,Acacia adoxa,Acacia,Fabaceae
Acacia adsurgens,Acacia adsurgens,Acacia,Fabaceae
Acacia adunca,Acacia adunca,Acacia,Fabaceae
Acacia albida,Faidherbia albida,Faidherbia,Fabaceae
Acacia alleniana,Acacia alleniana,Acacia,Fabaceae
Acacia amblygona,Acacia amblygona,Acacia,Fabaceae
Acacia anceps,Acacia anceps,Acacia,Fabaceae
Acacia ancistrocarpa,Acacia ancistrocarpa,Acacia,Fabaceae
Acacia aneura,Acacia aneura,Acacia,Fabaceae
Acacia angusta,Acacia angusta,Acacia,Fabaceae
Acacia angustissima,Acacia angustissima,Acacia,Fabaceae
Acacia aprepta,Acacia aprepta,Acacia,Fabaceae
Acacia aptaneura,Acacia aptaneura,Acacia,Fabaceae
