dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16
0.045,0,0.004,0.086,0.052,0,0.034,0.882,0.237,0,0,0.715,0,0.002,0.048,0.02
0.222,0.004,0.489,0.572,0,0.264,0.034,0,0.785,0.28,0.774,0.002,0.003,0.009,0.159,0.023
0,0,0,0.037,0.084,0.001,0.92,0.43,0,0,0,0,0.049,0.137,0.078,0.005
0,0,0.003,0.827,0.065,0.524,0.602,0.719,0,0,0,0.109,0.002,0,0,0
0,0,0.721,0.027,0.084,0.056,0.077,0.003,0,0.071,0.001,0,0.008,0.006,0.407,0
0,0,0.003,0.75,0.029,0.613,0.687,0.868,0,0,0,0.346,0.006,0,0,0.001
0,0.307,0.076,0.366,0.775,0.186,0.853,0.088,0,0.004,0.555,0.007,0.124,0,0.124,0.063
0.722,0,0,0.02,0,0,0.04,0,0.125,0.095,0.002,0,0,0.249,0.131,0.256
0.045,0.01,0.174,0.712,0.006,0.037,0.275,0.001,0.009,0.069,0.321,0.025,0.094,0.921,0.114,0.436
0.426,0.047,0.929,0.042,0.932,0.134,0.814,0.018,0.867,0.621,0.004,0.286,0.324,0.564,0.183,0.235
0.376,0.002,0.541,0.119,0.097,0.177,0.133,0.289,0.046,0.134,0.081,0.146,0.354,0,0.235,0.55
0,0.013,0.026,0.055,0.837,0,0.99,0.003,0.179,0,0,0,0,0.169,0.978,0
0.152,0.415,0.025,0.239,0.648,0.367,0.853,0.026,0.157,0.471,0.209,0.434,0.693,0.897,0.818,0.009
0.002,0.031,0.003,0.072,0.037,0,0.203,0,0.065,0,0.224,0,0,0.875,0.687,0
0.188,0.669,0.002,0.887,0.722,0.328,0.856,0.199,0.09,0.91,0.029,0.594,0.114,0.846,0.135,0.832
0.49,0.743,0.003,0.848,0.075,0.365,0.584,0.553,0.721,0.92,0.088,0.312,0.269,0.717,0.123,0.26
0,0,0.06,0.219,0.042,0.115,0.308,0.003,0.009,0,0,0.061,0,0.033,0.471,0.802
0,0.579,0,0.057,0.073,0.144,0.724,0.001,0,0,0,0,0,0.268,0.689,0.205
