dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16
0.16,0.34,-0.23,0.14,0.15,-0.41,-0.17,0.01,0.09,-0.54,0.33,-0.03,-0.66,0.24,-0.16,-0.18
0.1,0.22,-0.05,-0.04,0.33,-0.09,0.17,-0.46,0.02,-0.09,0.02,0.24,-0.23,-0.21,0.11,-0.18
0.56,0.34,0.5,-0.16,-0.14,0.26,-0.01,-0.06,-0.33,-0.42,0.78,-0.28,-0.15,0.12,0.14,0.22
0.43,-0.51,-0.23,0.02,0.15,-0.05,-0.04,-0.03,-0.41,0.33,-0.45,-0.13,-0.24,-0.31,-0.3,-0.3
-0.29,0.28,0.03,0.17,-0.14,0.15,-0.14,0.23,0.42,-0.14,0.26,0.33,0.21,0.22,0.07,0.5
-0.42,0.51,0.23,-0.03,-0.17,0.04,0.03,0.01,0.38,-0.35,0.46,0.07,0.21,0.3,0.28,0.26
-0.33,0.08,-0.14,0.07,0.02,-0.1,0.01,0.13,0.32,-0.23,-0.05,0.21,-0.12,0.55,-0.12,-0.15
0.03,0.4,-0.31,0.18,0.44,-0.28,-0.16,-0.32,0.12,-0.13,0.24,0.28,-0.33,0.09,-0.12,0.09
-0.16,0.2,-0.11,-0.03,0.22,-0.16,-0.09,-0.27,0.21,0.14,-0.08,0.18,0.13,-0.01,0.12,0.06
0.06,-0.16,0.01,-0.16,0.01,-0.12,-0.02,0.19,-0.01,-0.04,-0.23,-0.08,-0.08,-0.05,-0.11,-0.09
-0.07,0.24,-0.05,0.12,0.13,-0.11,-0.12,-0.08,0.16,-0.12,0.14,0.11,-0.07,0.29,-0.09,0.05
-0.41,-0.19,0.17,0.15,0.02,0.28,-0,-0.23,0.11,0.62,-0.3,0.28,0.77,-0.11,-0,0.32
-0.11,-0.06,-0.18,-0.09,0.04,0.07,0.01,0.18,0.11,-0.06,-0.1,-0.06,-0.03,-0.01,-0.02,0.2
0.25,-0.17,-0.23,-0.14,-0.16,-0.32,0.1,0.36,-0.15,-0.44,-0.1,-0.34,-0.61,0.01,0.03,-0.52
-0.1,0.03,-0.24,0.01,0.03,-0.08,-0.01,0.1,0.13,-0.01,-0.17,0.04,-0.12,-0.02,-0.12,0.02
0.05,0.03,-0.23,0.02,0.14,0.07,-0.04,-0.05,0.03,0.01,-0.13,0.08,-0.09,-0.03,0.12,-0.09
-0.54,-0.54,-0.15,0.1,-0.16,0.12,0.08,0.23,0.21,0.54,-0.74,0.15,0.53,-0.17,-0.06,-0.02
0.65,-0.04,0.3,-0.15,-0.14,0.12,-0.03,0.26,-0.43,-0.62,0.55,-0.49,-0.52,0.09,0.03,-0.1
