dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16
0,0.203,0.14,0.001,0.007,0.081,0.08,0.616,0,0.157,0.045,0.066,0,0.61,0.189,0
0.001,0.001,0.043,0.002,0.206,0.187,0.596,0.896,0,0.001,0.007,0.462,0,0.16,0.084,0.457
0,0.43,0.001,0,0.86,0.715,0.616,0.289,0,0,0.848,0.032,0,0.871,0.006,0
0.204,0.271,0,0,0.237,0.022,0.866,0.286,0,0.001,0.833,0.024,0.05,0.023,0.362,0.004
0.665,0.008,0.051,0.055,0.829,0.053,0.125,0.25,0.012,0.164,0.487,0.594,0.486,0.054,0.703,0.035
0.001,0.02,0.085,0.038,0.833,0.611,0.686,0.779,0.004,0.008,0.207,0.069,0,0.909,0.003,0.044
0.135,0.027,0,0.056,0.361,0.6,0.611,0.375,0.033,0,0,0.174,0.193,0.515,0.908,0.099
0.023,0.002,0.001,0.278,0.078,0.847,0.022,0.848,0.003,0,0,0.383,0.013,0.008,0.244,0.069
0.698,0,0.001,0.264,0.005,0.616,0.008,0.829,0.015,0,0,0.999,0.226,0.005,0.144,0.024
0.001,0.093,0,0,0.258,0.039,0.446,0.927,0,0,0.005,0.006,0.019,0.214,0.263,0.114
0,0.671,0.022,0,0.547,0.027,0.457,0.653,0,0,0.949,0.012,0,0.257,0,0.003
0.012,0.156,0.693,0.795,0.532,0.044,0.101,0.408,0.38,0.065,0.01,0.062,0.002,0.956,0.003,0.921
0.068,0.089,0.774,0.158,0.962,0.052,0.757,0.823,0.388,0.491,0.77,0.116,0.65,0.181,0.278,0.8
0.009,0.161,0.416,0.31,0.057,0.081,0.078,0.29,0.059,0.005,0,0.095,0,0.24,0.049,0.06
0.004,0.32,0.275,0.015,0.007,0.035,0.051,0.427,0.002,0.202,0.232,0.118,0.001,0.449,0.71,0.009
0.366,0.866,0.074,0.108,0.517,0.386,0.42,0.042,0.045,0.865,0.18,0.79,0.92,0.252,0.618,0.033
0.694,0.006,0.001,0.168,0.014,0.795,0.004,0.336,0.027,0,0,0.761,0.081,0.005,0.097,0.012
0.881,0.632,0.007,0.003,0.783,0.912,0.82,0.901,0.743,0.454,0.467,0.693,0.411,0.953,0.194,0.664
