dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16
0.31,-0.1,0.12,-0.26,0.21,0.14,0.14,0.04,-0.32,-0.11,-0.16,-0.14,-0.3,0.04,-0.1,-0.29
-0.27,-0.25,-0.16,0.24,0.1,-0.1,0.04,0.01,0.28,0.26,-0.21,0.06,0.29,-0.11,0.14,0.06
0.29,0.06,0.27,-0.27,0.01,-0.03,0.04,-0.08,-0.4,-0.28,-0.02,-0.17,-0.31,0.01,-0.22,-0.31
-0.1,-0.09,-0.36,0.31,0.09,-0.18,-0.01,-0.08,0.32,0.25,0.02,0.18,0.15,-0.18,0.07,0.23
-0.03,0.21,0.15,-0.15,-0.02,0.15,0.12,-0.09,-0.2,-0.11,-0.06,0.04,-0.06,0.15,0.03,-0.17
0.26,0.18,0.14,-0.16,-0.02,-0.04,-0.03,0.02,-0.23,-0.21,0.1,-0.14,-0.32,0.01,-0.23,-0.16
-0.12,-0.17,-0.37,0.15,0.07,-0.04,0.04,0.07,0.17,0.31,-0.36,0.11,0.1,-0.05,0.01,-0.13
-0.18,-0.25,-0.25,0.09,0.14,0.02,0.18,-0.02,0.23,0.33,-0.44,0.07,0.19,-0.21,0.09,-0.14
-0.03,-0.27,-0.26,0.09,0.22,-0.04,0.21,-0.02,0.19,0.29,-0.38,0,0.1,-0.22,0.12,-0.18
-0.25,-0.13,-0.42,0.27,0.09,-0.16,-0.06,0.01,0.32,0.3,-0.22,0.21,0.18,-0.1,0.09,0.12
-0.36,0.03,-0.18,0.3,-0.05,0.17,0.06,0.04,0.33,0.28,0.01,0.2,0.35,0.09,0.29,0.23
-0.2,-0.11,-0.03,0.02,0.05,0.16,0.13,-0.07,0.07,0.15,-0.2,0.15,0.24,0,0.23,-0.01
0.14,-0.13,-0.02,0.11,0,-0.15,-0.02,0.02,-0.07,0.05,0.02,-0.12,0.04,-0.11,-0.09,-0.02
0.2,0.11,-0.06,-0.08,-0.15,-0.14,-0.14,0.08,-0.15,-0.22,0.32,-0.13,-0.27,0.09,-0.15,0.15
0.23,-0.08,0.09,-0.19,0.21,0.17,0.15,0.06,-0.24,-0.1,-0.09,-0.12,-0.26,0.06,-0.03,-0.2
0.07,0.01,-0.14,0.13,0.05,-0.07,-0.06,0.16,0.16,0.01,0.11,0.02,-0.01,0.09,-0.04,0.17
-0.03,-0.21,-0.26,0.11,0.19,-0.02,0.23,-0.08,0.17,0.3,-0.34,0.02,0.14,-0.22,0.13,-0.2
0.01,0.04,0.21,-0.23,-0.02,0.01,0.02,-0.01,0.03,-0.06,-0.06,-0.03,0.07,-0,0.1,-0.03
